x,y,z
-1.252474399494859E+05,-3.814751210077732E+05,-3.520069666841626E+04
-1.257551527940864E+05,-3.831870523065763E+05,-3.537502375960018E+04
-1.263544760962083E+05,-3.848317824642138E+05,-3.553884902159142E+04
-1.270678050221544E+05,-3.863866718640920E+05,-3.571673280623500E+04
-1.279408969770675E+05,-3.878074405693558E+05,-3.589921383929814E+04
-1.290292075976489E+05,-3.890028762503925E+05,-3.608851300293015E+04
-1.303725671251631E+05,-3.897815665423772E+05,-3.628576919882192E+04
-1.318541833721678E+05,-3.898310871275502E+05,-3.648450544616333E+04
-1.330673472040246E+05,-3.890236002235425E+05,-3.666563173483222E+04
-1.337371997029654E+05,-3.876880432605309E+05,-3.681774350613556E+04
-1.339439385562931E+05,-3.861573978054863E+05,-3.694569916067479E+04
-1.338357544138735E+05,-3.845705069704900E+05,-3.705675984089455E+04
-1.335146751691724E+05,-3.829705692543451E+05,-3.715572242013991E+04
-1.330428857588338E+05,-3.813687224503681E+05,-3.724544082333590E+04
-1.324589554280896E+05,-3.797659193422024E+05,-3.732764900019777E+04
-1.317878748297885E+05,-3.781599804443858E+05,-3.740344637834595E+04
-1.310465667645812E+05,-3.765479370110594E+05,-3.747355882683181E+04
-1.302469450059581E+05,-3.749268191116625E+05,-3.753848163242004E+04
-1.293976786106163E+05,-3.732939030344578E+05,-3.759856109426539E+04
-1.284994734305364E+05,-3.716498092628450E+05,-3.765046999881772E+04
-1.275683922468441E+05,-3.699864283983407E+05,-3.770127677987154E+04
-1.266029998640585E+05,-3.683048039921381E+05,-3.774779197401612E+04
-1.256063848514935E+05,-3.666032608574081E+05,-3.779010497169876E+04
-1.245810387742846E+05,-3.648803011339455E+05,-3.782827714323369E+04
-1.235289970396986E+05,-3.631345738150643E+05,-3.786234810978446E+04
-1.224519405413325E+05,-3.613648491160251E+05,-3.789234023475638E+04
-1.213512704419864E+05,-3.595699971605486E+05,-3.791826189974487E+04
-1.202281510171480E+05,-3.577490173458477E+05,-3.794009256117912E+04
-1.190833688632931E+05,-3.559013440361556E+05,-3.795781077417130E+04
